#data from http://pds-geosciences.wustl.edu/phx/phx-m-ra-4-rdr-sci-v1/phxra_1001/data/
time(s);x_t(m);y_t(m);z_t(m);th_t(rad);Fr(N);Ft(N);Fz(N);R(N)
"# trench dig 0.18; 1.539; 0.843; 0.05; 0.35; 0.23; 0.0; 0.785; 1.047; 0.20; 1.92; 0.5";;;;;;;;
Command data from lines 4 - 31052;;;;;;;;
900550796.7;0.1802;1.5386;0.6434;2.2315;0;0;0;0
900550797.2;0.1802;1.5386;0.6434;2.2315;0;0;0;0
900550797.3;0.1802;1.5385;0.6435;2.2316;0;0;0;0
900550797.4;0.1802;1.5388;0.6437;2.2314;0;0;0;0
900550797.5;0.1804;1.5396;0.6444;2.2309;0;0;0;0
900550797.6;0.1806;1.541;0.6461;2.2303;0;0;0;0
900550797.7;0.1807;1.5416;0.6492;2.2306;0;0;0;0
900550797.8;0.1807;1.5418;0.6525;2.2314;-1.0297;0;5.7847;5.8756
900550797.9;0.1807;1.5416;0.656;2.2324;-0.5571;0;6.6892;6.7123
900550798;0.1807;1.5415;0.6593;2.2334;0;0;0;0
900550798.1;0.1807;1.5417;0.6624;2.234;-0.2683;0;5.3577;5.3644
900550798.2;0.1808;1.5421;0.6654;2.2344;-1.576;0;5.5865;5.8045
900550798.3;0.1808;1.5419;0.6693;2.2355;0;0;0;0
900550798.4;0.1807;1.5417;0.6728;2.2339;-6.6782;0;2.7792;7.2334
900550798.5;0.1807;1.5417;0.6758;2.2329;0;0;0;0
900550798.6;0.1807;1.5416;0.6783;2.2336;0;0;0;0
900550798.7;0.1809;1.5425;0.6802;2.2333;0;0;0;0
900550798.8;0.1809;1.5428;0.6825;2.2336;0;0;0;0
900550798.9;0.1808;1.5423;0.6858;2.2348;0;0;0;0
900550799;0.1809;1.5425;0.6891;2.2328;-0.8386;0;4.6623;4.7371
900550799.1;0.1809;1.5427;0.6921;2.2315;-2.1426;0;5.0652;5.4997
900550799.2;0.1809;1.5427;0.695;2.2322;-0.478;0;4.4614;4.4869
900550799.3;0.1809;1.5428;0.6977;2.2328;0;0;0;0
900550799.4;0.1809;1.5422;0.7012;2.2341;0.4763;0;7.0672;7.0832
900550799.5;0.1808;1.5419;0.7041;2.235;0;0;0;0
900550799.6;0.1809;1.5421;0.7066;2.2354;0;0;0;0
900550799.7;0.1809;1.5426;0.7092;2.2329;0;0;0;0
900550799.8;0.181;1.5429;0.7119;2.2315;0;0;0;0
900550799.9;0.1809;1.5424;0.7151;2.2326;-0.6593;0;4.4996;4.5476
900550800;0.181;1.5427;0.7181;2.233;0;0;0;0
900550800.1;0.181;1.5427;0.7209;2.2337;-4.1607;0;3.1945;5.2456
900550800.2;0.1809;1.5424;0.7237;2.2345;0;0;0;0
900550800.3;0.1809;1.542;0.7268;2.2346;0;0;0;0
900550800.4;0.1809;1.5421;0.7301;2.2325;-1.539;0;4.9856;5.2177
900550800.5;0.1809;1.542;0.7332;2.2323;-0.6613;0;-1.9706;2.0786
900550800.6;0.1809;1.5419;0.7358;2.233;-3.61;0;-3.4704;5.0076
900550800.7;0.181;1.5423;0.7378;2.2331;0;0;0;0
900550800.8;0.181;1.5425;0.7402;2.2335;0;0;0;0
900550800.9;0.181;1.5424;0.7432;2.2342;0;0;0;0
900550801;0.1809;1.5421;0.7464;2.235;-1.4995;0;5.2282;5.439
900550801.1;0.1809;1.542;0.7494;2.2357;0.0835;0;5.4324;5.433
900550801.2;0.181;1.5423;0.7521;2.2333;-3.3076;0;3.3593;4.7144
900550801.3;0.181;1.5423;0.7548;2.2321;0;0;0;0
900550801.4;0.1809;1.5415;0.7583;2.2334;-3.0466;0;4.39;5.3436
900550801.5;0.1808;1.541;0.7613;2.2344;0;0;0;0
900550801.6;0.1809;1.5415;0.7637;2.2344;0;0;0;0
900550801.7;0.1809;1.5416;0.7662;2.2349;0;0;0;0
900550801.8;0.1809;1.5413;0.769;2.2347;0;0;0;0
900550801.9;0.1809;1.5413;0.7718;2.2325;0;0;0;0
900550802;0.1809;1.5413;0.7747;2.2322;-1.2266;0;4.2225;4.3971
900550802.1;0.1809;1.5411;0.7777;2.2329;-0.5047;0;5.5694;5.5922
900550802.2;0.1809;1.541;0.7805;2.2335;-0.3521;0;5.1997;5.2117
